cost,latency
1,1
0.0904977375565611,0.107926097772684
1,1
1,1
0.156334841628959,0.0328124518348795
0.140045248868778,0.0411298105538941
1,1
0.111538461538462,0.042524869844383
0.174434389140271,0.0373688277728297
1,1
0.141176470588235,0.0317619474691842
0.135746606334842,0.026815180708633
1,1
0.14027149321267,0.0423615320628907
0.129864253393665,0.101123145234134
1,1
0.137556561085973,0.0327828066490556
0.170361990950226,0.0299516444959323
1,1
1,1
0.124434389140271,0.0482931178380579
0.157918552036199,0.0351465176956469
1,1
0.152488687782805,0.0361371218994796
1,1
1,1
0.150226244343891,0.0900739576244115
0.195701357466063,0.0347296479056446
1,1
0.126018099547511,0.0370647691725529
0.151809954751131,0.0342885975882813
1,1
0.103846153846154,0.0436077321805755
1,1
0.147285067873303,0.0400339080884943
1,1
0.169004524886878,0.0383302871315275
1,1
0.127828054298643,0.0475823604358477
0.234162895927602,0.0247982761199358
0.182126696832579,0.0368789395135249
1,1
0.138914027149321,0.0463834346954512
1,1
0.174434389140271,0.0354787751844434
0.152036199095023,0.0397822289040984
0.185294117647059,0.0398077853683543
0.132579185520362,0.042254068264279
0.162669683257919,0.033504305740433
0.196380090497738,0.0314366478430942
